theta_rad;theta_deg;pressure_exp_kPa;pressure_sim_kPa;temperature_K;heat_loss_J;burned_fraction;dQ_dtheta_kJ_per_rad
-0.366519143;-21.000000;2112.200000;2228.543549;653.044744;0.801472;0.000000000;0.000000000
-0.357792497;-20.500000;2166.100000;2283.853255;657.219008;0.893861;0.000000000;0.000000000
-0.349065850;-20.000000;2220.100000;2340.246902;661.393185;0.989504;0.000000000;0.000000000
-0.340339204;-19.500000;2274.700000;2397.694267;665.563646;1.088476;0.000000000;0.000000000
-0.331612558;-19.000000;2330.600000;2456.158910;669.726540;1.190848;0.000000000;0.000000000
-0.322885912;-18.500000;2388.100000;2515.597704;673.877788;1.296691;0.000000000;0.000000000
-0.314159265;-18.000000;2447.600000;2575.960402;678.013077;1.406072;0.000000000;0.000000000
-0.305432619;-17.500000;2507.500000;2637.189163;682.127858;1.519056;0.000000000;0.000000000
-0.296705973;-17.000000;2568.200000;2699.218169;686.217346;1.635703;0.000000000;0.000000000
-0.287979327;-16.500000;2629.600000;2761.973187;690.276518;1.756069;0.000000000;0.000000000
-0.279252680;-16.000000;2692.200000;2825.371204;694.300116;1.880206;0.000000000;0.000000000
-0.270526034;-15.500000;2755.100000;2889.320049;698.282646;2.008159;0.000000000;0.000000000
-0.261799388;-15.000000;2818.800000;2953.718142;702.218390;2.139970;0.000000000;0.000000000
-0.253072742;-14.500000;2883.900000;3018.454225;706.101405;2.275670;0.000000000;0.000000000
-0.244346095;-14.000000;2949.900000;3083.407198;709.925538;2.415286;0.000000000;0.000000000
-0.235619449;-13.500000;3016.600000;3148.445997;713.684433;2.558835;0.000000000;0.000000000
-0.226892803;-13.000000;3083.600000;3213.429623;717.371548;2.706326;0.000000000;0.000000000
-0.218166156;-12.500000;3151.000000;3278.207232;720.980170;2.857757;0.000000000;0.000000000
-0.209439510;-12.000000;3216.900000;3342.618315;724.503432;3.013118;0.000000000;0.000000000
-0.200712864;-11.500000;3284.000000;3406.493074;727.934338;3.172386;0.000000000;0.000000000
-0.191986218;-11.000000;3350.600000;3469.652862;731.265788;3.335528;0.000000000;0.000000000
-0.183259571;-10.500000;3417.100000;3531.910808;734.490603;3.502497;0.000000000;0.000000000
-0.174532925;-10.000000;3483.900000;3593.072552;737.601555;3.673235;0.000000000;0.000000000
-0.165806279;-9.500000;3550.600000;3652.937204;740.591402;3.847670;0.000000000;0.000000000
